Nome;Versão;Tipo;Energia;Descrição;Texto Final;Observação;Arte;Prompt Arte;Raridade
Poço do Silêncio Inicial;v1;Avançada-Magia;2;Devoção (Magia) - Ao entrar em jogo, dê X tokens de Sobrevida ao personagem principal, onde X é a quantidade de Personagens do Tipo Magia em jogo.;O primeiro silêncio já sabia o que viria depois.;Efeito alterado de Prever (X) para Sobrevida (X), mantendo a mesma escala (Personagens do Tipo Magia em jogo). Cobre agora a palavra-chave de assinatura Cura/Sobrevida modesta, lacuna que nenhuma das 3 Fontes Avançadas de Silenteia cobria antes desta mudança. Clarividência/Prever fica sem Fonte Avançada dedicada em Silenteia, mas segue coberta por Itens do tipo (ex. Cajado do Vento Parado).;fonte-poco-do-silencio-inicial-v1.png;"Poço circular de água absolutamente parada, cravado no centro de uma vasta cratera de areia compactada em Silenteia, cercado por um anel de pedras lisas gastas por gerações de monges sentados em meditação; ao fundo, formações rochosas esguias e impossivelmente altas se afilam contra o horizonte, como agulhas erodidas pelo vento, e um único templo de areia endurecida se ergue entre elas como se tivesse crescido ali; a lua cheia, desproporcionalmente grande e próxima, se reflete na água sem a menor ondulação, como se o próprio silêncio tivesse peso e formato; grãos de areia suspensos no ar parecem congelados em pleno voo, tocados por uma brisa que não se ouve; paleta fria de azuis-acinzentados profundos, prata lunar e areia pálida quase branca; linha de arte no estilo de Moebius — traço fino e preciso, silhuetas monumentais e vazias contra um céu vasto, geometria onírica e contemplativa, escala humana minúscula diante da paisagem; sensação de reverência ascética e renovação silenciosa; nenhuma figura humana em cena, apenas vestígios de presença — pegadas antigas já quase apagadas ao redor do poço. Proporção 1:1";Rara
Círculo dos Mil Passos;v1;Avançada-Magia;2;Devoção (Magia) - Ao entrar em jogo, coloque um token de DefDown sobre o personagem alvo.;Mil voltas ao mesmo círculo bastam para conhecer cada fraqueza de quem o pisa.;"Cobre a palavra-chave de assinatura Ponto Fraco (debuff de Defesa). Efeito determinístico (sem Aposte), coerente com a raridade de Aposte reservada a poucas cartas por tipo. Energia 2 e efeito modesto/pontual mantêm a Fonte alinhada ao patamar ""suporte/controle barato"" do tipo Magia, sem competir com os Itens Lendários de debuff mais fortes (ex. Grilhão de Areia).";fonte-circulo-dos-mil-passos-v1.png;"Vista aérea imponente de um imenso círculo espiralado gravado nas dunas de Silenteia, formado por incontáveis anéis concêntricos de pegadas sobrepostas por gerações de monges que caminharam ali sem parar, alguns sulcos tão profundos que já viraram pequenas trincheiras na areia; o padrão espiralado converge para um ponto central vazio, perfeitamente limpo, onde nenhum pé jamais pisou; ao longe, no horizonte curvo do deserto, silhuetas de rochas afiladas e improváveis pontuam a paisagem como esculturas naturais; luz rasante de fim de tarde alonga cada sombra ao longo dos sulcos, criando um relevo dramático que revela a textura entrelaçada dos passos; tons dourados intensos, marrom-avermelhado desbotado e areia clara ressecada pelo sol; grão de areia visível em close, poeira fina levantada por um vento constante nas bordas do círculo; linha de arte no estilo de Moebius — composição minimalista vista do alto, traço limpo e onírico, sensação de repetição hipnótica, disciplina ascética e tempo geológico acumulado; nenhuma figura humana em cena, apenas o rastro coletivo de todas que já passaram por ali. Proporção 1:1";Incomum
Sombra do Vazio Solar;v1;Avançada-Magia;1;Devoção (Magia) - Ao entrar em jogo, extinga uma Fonte de Energia do oponente.;Nem a luz mais viva escapa ao vazio quando Silenteia decide apagá-la.;Cobre a palavra-chave de assinatura Triturar/Extinguir Fonte (controle de recursos). Efeito determinístico (sem Aposte). Energia 2, alinhado às outras 2 Fontes Avançadas do tipo. Com esta carta e a mudança do Poço do Silêncio Inicial para Sobrevida, as 3 Fontes Avançadas de Silenteia cobrem: Cura/Sobrevida (Poço), Ponto Fraco/debuff de Defesa (Círculo) e Triturar/Extinguir Fonte (Sombra) — Clarividência/Prever fica sem Fonte dedicada, coberta por Itens do tipo.;fonte-sombra-do-vazio-solar-v1.png;"Eclipse solar total visto do topo da maior duna de Silenteia, um disco negro perfeito devorando a luz do sol enquanto uma fina auréola dourada pulsa nas bordas como a última respiração da luz; o céu ao redor escurece em gradiente, do azul-crepuscular ao roxo profundo, com as primeiras estrelas já visíveis mesmo em pleno dia; a sombra da lua avança sobre o deserto como uma maré escura, engolindo dunas e formações rochosas esguias em sequência; silhueta de um templo de areia compactada em primeiro plano, já metade tragado pela escuridão, seus contornos se dissolvendo na penumbra; grãos de areia soltos no ar parecem absorver a pouca luz restante; paleta de pretos profundos, roxo-acinzentado e um fino halo dourado ofuscante; linha de arte no estilo de Moebius — traço preciso, silhuetas monumentais, composição onírica de escala vasta e contemplativa; atmosfera de vazio absoluto, apagamento silencioso e escala cósmica dentro de um cenário desértico; nenhuma figura humana em cena, apenas o deserto inteiro contendo a respiração. Proporção 1:1";Rara
Fossa dos Sábios Caídos;v1;Avançada-TecSci;1;Devoção (TecSci) - Ao entrar em jogo, Reaproveitar Recurso (1).;Nos escombros da corte arcana, nada se perde - tudo espera ser reerguido.;Cobre a palavra-chave de assinatura Reaproveitar. Efeito determinístico, sem custo extra além da própria Fonte (mais barato que o Ferro de Solda Improvisado, que cobra energia adicional) - diferenciação por ser Fonte, não Item, e por não poder ser usada mais de uma vez por turno como aquele.;fonte-fossa-dos-sabios-caidos-v1.png;"Cratera profunda e vertiginosamente vertical na Detritônia, camadas geológicas de destroços de uma antiga corte arcana empilhadas em espiral descendente, como um poço arquitetônico barroco e impossível - tronos partidos ao meio, pergaminhos carbonizados ainda com runas visíveis nas bordas, engrenagens douradas emperradas do tamanho de catedrais, cristais de contrato rachados pulsando um brilho residual intermitente; teias de cabos e metal retorcido conectam os níveis da cratera como tendões expostos de uma máquina morta; luz difusa penetra por fendas irregulares na rocha muito acima, formando feixes verticais carregados de poeira dourada em suspensão; paleta de marrom-ferrugem profundo, dourado opaco desbotado e um verde-azulado elétrico vazando das rachaduras dos cristais, como se o próprio pacto arcano ainda respirasse; linha de arte que cruza o traço denso e vertical de Druillet com o design tecno-orgânico e monumental do Quarto Mundo de Kirby - formas geométricas exageradas, quase totêmicas, e a gambiarra intrincada de peças remendadas típica de Gramps; atmosfera de ruína arqueológica densa e estratificada, riqueza de detalhes de um reino que caiu sobre o próprio peso; nenhuma figura humana em cena, apenas os vestígios empilhados de uma opulência extinta. Proporção 1:1";Incomum
Cratera da Sucata Viva;v1;Lendária Avançada-TecSci;2;Devoção (TecSci) - Ao entrar em jogo, coloque um token de AtkUp no personagem que este card for anexado para cada carta de Item na sua pilha de decarte.;Quanto mais se descarta, mais forte fica quem sabe reaproveitar.;Cobre a palavra-chave de assinatura de buff condicionado à quantidade de Itens/Fontes em descarte, reforçando a mesma lógica da Serra Circular Remendada (Item) mas em escala de Atk permanente em vez de dano pontual. Efeito determinístico.;fonte-cratera-da-sucata-viva-v1.png;"Cratera industrial vasta e irregular na Detritônia, transbordando de montanhas de sucata compactada em camadas caóticas que se empilham quase até formar uma torre orgânica - placas metálicas amassadas de diferentes eras do reino, fios expostos entrelaçados como raízes sintéticas, engrenagens enferrujadas do tamanho de rodas de carroça, cascos quebrados de máquinas antigas meio enterrados, tudo remendado em ângulos improváveis que lembram gambiarra elevada a monumento; fagulhas elétricas saltam espontaneamente entre os destroços em arcos irregulares, como se o próprio monte de lixo tivesse um pulso; fumaça fina e esverdeada sobe entre as pilhas em volutas lentas, iluminada por baixo por um brilho residual pulsante vindo do fundo da cratera; superfícies molhadas de orvalho refletem as fagulhas como pequenas constelações artificiais; paleta de cinza-metálico opaco, laranja-fagulha intenso e verde tóxico luminescente; linha de arte que mistura a verticalidade densa de Druillet, a energia tecno-mítica do Quarto Mundo de Kirby e a estética remendada e caótica de Gramps; textura áspera, densa e industrial, sensação de energia latente e quase orgânica brotando do descarte acumulado; nenhuma figura humana em cena, só o amontoado que parece respirar sozinho. Proporção 1:1";Super-rara
Trono Enferrujado;v1;Avançada-TecSci;2;Devoção (TecSci) - Ao entrar em jogo, Extinguir Fonte (1) de um personagem que você não controla.;O trono caiu, mas ainda sabe como derrubar outros impérios.;"Cobre a palavra-chave de assinatura Triturar/Extinguir Fonte, espelhando a Sombra do Vazio Solar (Silenteia) mas do lado da Detritônia - coerente com o tipo TecSci também usar essa palavra-chave herdada de rules.md. Com esta carta, Fossa/Cratera/Trono cobrem as 3 palavras-chave de assinatura mais centrais da Detritônia (Reaproveitar, buff por descarte, Triturar/Extinguir Fonte); custo variável pago com descarte fica sem Fonte dedicada, coberto pelos Itens (Chave de Fenda Torta, Rede de Cabos Emendados).";fonte-trono-enferrujado-v1.png;"Um trono monárquico imenso e imponente, entalhado outrora com símbolos de uma corte arcana rica, agora completamente tomado pela ferrugem em camadas alaranjadas e por rachaduras luminosas que atravessam o metal como veias vivas de energia contida; correntes de contrato quebradas pendem dos braços do trono, balançando levemente; posicionado sozinho no topo de uma pilha instável e verticalíssima de escombros do palácio caído - colunas partidas, brasões arcanos derretidos, cacos de vitral, tudo empilhado como uma torre gótico-industrial - contra um céu cinzento e denso de tempestade, relâmpagos distantes silhuetando as nuvens; um fino vapor arcano escapa das rachaduras do trono, subindo em espirais lentas; paleta de marrom-ferrugem intenso, dourado desbotado quase cinza e um brilho arcano azul-esverdeado pulsante vazando de cada fenda; linha de arte que combina a monumentalidade vertical de Druillet, o design tecno-mítico do Quarto Mundo de Kirby e o acabamento remendado e sucateado de Gramps; composição centralizada e monumental, sensação de poder decadente que ainda pulsa perigo sob a ruína; nenhuma figura humana em cena, o trono vazio já é ameaça suficiente. Proporção 1:1";Rara
Praça Comum;v1;Avançada-Físico;2;Devoção (Físico) - Ao entrar em jogo, coloque sobre o personagem que este card for anexado, 2 tokens de AtkUp e 2 tokens de LifeUp.;Toda praça de Solar Comum já viu nascer um campeão.;Cobre a palavra-chave de assinatura de alteração direta e de alto valor em Atk/Vida, sem condicionais - efeito determinístico e imediato, coerente com a agressão crua do tipo Físico.;fonte-praca-comum-v1.png;"Praça pública ampla de Solar Comum, piso de pedra clara e madeira tratada em linhas simples e funcionais, com bancos de concreto polido e um chafariz modesto de design limpo ao centro; cercada por dezenas de bandeirinhas de tecido de nações distintas tremulando lado a lado em total igualdade, nenhuma mais alta ou mais central que as outras; arquibancadas de treino ao ar livre com barras de madeira clara e cordas, marcas de giz ainda frescas no chão de disputas recentes; luz de sol nórdico baixo e rasante, clara e fria mas generosa, projetando sombras longas e nítidas sobre a pedra; prédios de arquitetura sóbria e funcional ao fundo, fachadas de madeira e vidro sem ornamentação excessiva, cada um sutilmente distinto em estilo regional; paleta realista de cinza-claro, madeira natural, branco luminoso e os tons vivos e variados das bandeiras; linha de arte fotorrealista e naturalista, luz nórdica limpa, sensação de um mundo comum e digno em vez de fantástico; atmosfera de abundância coletiva e piso de dignidade compartilhado; nenhuma figura humana em cena, mas o espaço parece pulsar com a energia de multidões que acabaram de sair. Proporção 1:1";Rara
Vale da Têmpera;v1;Avançada-Físico;1;Devoção (Físico) - Ao entrar em jogo, a próxima ação de combate do personagem que este card for anexado, ganha Ignorar Defesa e Trespassar.;No Vale, todo golpe é temperado para atravessar o que for preciso.;Cobre a palavra-chave de assinatura Ataque Perfurante/Transpassar (variante de metade de Defesa, mesma escala usada na Lança da Aurora Comum, Item Temático de Solar Comum). Efeito determinístico.;fonte-vale-da-tempera-v1.png;"Vale estreito e verde entre penhascos de rocha escura cobertos de musgo, típico de uma paisagem fiorde nórdica, com uma forja a céu aberto de construção simples e robusta em atividade; lâminas e lanças de aço fosco fincadas na rocha, esfriando em poças de água glacial que soltam vapor fino sob o ar frio; brasas incandescentes da forja iluminam a cena em tons quentes contra a pedra escura e úmida, contrastando com a luz azulada e difusa do céu nórdico ao fundo; uma cachoeira estreita despenca ao longe entre as paredes do vale, alimentando o riacho que passa perto da forja; paleta realista de laranja-brasa, cinza-pedra molhada, verde-musgo escuro e vapor branco-azulado; linha de arte fotorrealista e naturalista, luz fria e clara típica do norte, texturas ásperas de pedra e metal batido; sensação de forja constante, disciplina física e um mundo comum elevado ao extremo; nenhuma figura humana em cena. Proporção 1:1";Rara
Arena do Recorde Eterno;v1;Avançada-Físico;1;Devoção (Físico) - Ao entrar em jogo, coloque um token de AtkUp no personagemque este card for anexado.;Cada vitória na Arena vira lenda - e a lenda nunca se apaga.;"Cobre a palavra-chave de assinatura de ganhos de Atk crescentes por combate consecutivo, espelhando a Coroa de Louros (Item Lendário de Solar Comum) mas como Fonte de Energia. Com Praça Comum, Vale da Têmpera e Arena do Recorde Eterno, as 3 Fontes Avançadas de Solar Comum cobrem 3 das 4 palavras-chave de assinatura do tipo (alteração direta, Transpassar, Atk crescente); baixa dependência de suporte é uma característica estrutural do tipo, não um efeito de carta isolada.";fonte-arena-do-recorde-eterno-v1.png;"Arena circular de concreto claro e madeira laminada, arquitetura funcional e monumental ao mesmo tempo, sem excesso decorativo; arquibancadas amplas e vazias, cada setor marcado por bandeirinhas simples de nações distintas de Solar Comum penduradas em total igualdade ao redor de todo o perímetro; holofotes de haste fina iluminam o centro vazio da pista de corrida marcada com raias brancas nítidas, como se aguardasse o próximo recorde; placares eletrônicos discretos e postes de madeira clara emolduram a estrutura; céu nórdico aberto e claro acima, sem cobertura, luz de fim de tarde dourada mas fria; pequenas placas comemorativas gravadas na pedra da base, gastas pelo tempo mas legíveis; paleta realista de dourado solene, cinza-concreto claro, madeira natural e azul-céu pálido; linha de arte fotorrealista e naturalista, composição grandiosa mas sóbria, sensação de legado atlético coletivo acumulado ao longo de gerações; nenhuma figura humana em cena. Proporção 1:1";Incomum
Jardim do Véu das Plumas;v1;Avançada-Divino;2;Devoção (Divino) - Ao entrar em jogo, coloque 2 tokens de Sobrevida em cada um dos personagens que você controla.;Sob o véu do Jardim, nenhuma queda é definitiva.;"Única Fonte Avançada do Destacamento Interregno (cota de 1 por tipo da dupla de topo) - cobre a palavra-chave de assinatura mais central de Divino, Sobrevida/negação de morte, em escala de time. Energia 3 (mais alta que as Fontes do triângulo) e efeito de grande alcance são coerentes com o ""topo de curva"" da dupla de topo. Efeito determinístico (sem Aposte), já que Aposte é reservado a poucas cartas de personagem do tipo.";fonte-jardim-do-veu-das-plumas-v1.png;"Jardim suspenso sobre um mar denso de nuvens e névoa translúcida, o Interregno visto como um plano intermediário entre o que o multiverso era e o que ainda será; terraços de pedra clara e pontes de corda meio abandonadas sugerem que o destacamento se instalou ali por acomodação, não por projeto - musgo leve cresce entre as pedras, plantas etéreas de folhas quase transparentes brotam sem jardineiro; incontáveis penas brancas e douradas flutuam suavemente no ar como um véu semitransparente, algumas se acumulando em cantos como folhas caídas, prova de asas que envelheceram ali; ao fundo, silhuetas discretas de estruturas simples - um banco de pedra, um posto de vigília vazio - denunciam gerações de presença contemplativa e inerte; luz suave, difusa e sem sombra definida, vinda de nenhum ponto específico do céu; paleta de branco-perolado, dourado suave envelhecido e azul-claro etéreo; linha de arte inspirada na Estação das Brumas - atmosfera melancólica e serena de anjos que ficaram, beleza desgastada pelo tempo suspenso, mistério contemplativo em vez de glória triunfante; nenhuma figura humana em cena, apenas o peso silencioso de quem nunca foi embora. Proporção 1:1";Rara
